7,EEC313 A,"Department of Electrical Engineering(Undergraduate Program), Freshmen",光電與產業 (Syllabus) Photonics Industry *通訊產業與管理學程（電通學院） *通訊產業與管理學程（管院）,Department Elective Courses,"307 ,70203 308 ,70203 309 ,70203",阮于珊(Yu-Shan Juan),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,Selection message： 原1A新生自由選修，已先配班，若不選課可自行退選。為光機電系統與光資訊學程必修。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,EEC201 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",電路學 (Syllabus) Circuit Theory *智慧型控制學程 *智慧電網學程,Department Compulsory Courses,"207 ,70205 208 ,70205 209 ,70205",邱天隆(Tien-Lung Chiu),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,EEC202 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",工程數學（一） (Syllabus) Engineering Mathematics(I),Department Compulsory Courses,"109 ,70105 202 ,70105 203 ,70105 204 ,70105",陳祖龍(Chulung Chen),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,EEC204 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",電子學（一） (Syllabus) Electronics(I) *全校性跨領域--材料科技學程 *全校性跨領域--綠色能源學程 *智慧型控制學程 *智慧電網學程 *積體電路設計學程,Department Compulsory Courses,"102 ,70205 103 ,70205 104 ,70205",劉維昇(),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,EEC206 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",電子電路實驗（一） (Syllabus) Electronic Circuits Lab.(I),Department Compulsory Courses,"106 ,70307 107 ,70307 108 ,70307",劉維昇(),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,EEC208 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",電磁學（一） (Syllabus) Electromagnetics(I) *全校性跨領域--綠色能源學程 *智慧電網學程,Department Compulsory Courses,"302 ,70301 303 ,70301 304 ,70301",蒲念文(Nen-Wen Pu),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,Selection message： 2A配班。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,EEC321 A,"Department of Electrical Engineering(Undergraduate Program) , Sophomore",光電程式設計 (Syllabus) Electro-Optics Programming,Department Elective Courses,"407 ,70404 408 ,70404 409 ,70404",陳念波(Nien-Po Chen),113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,Selection message： 數位應用課程。本系大二以上同學可選修。為光機電系統與光資訊學程選修。,113F,,,,,,,,,313313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,CZ105 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",基礎統計分析 (Syllabus) Fundamental Statistical Analysis,Department Compulsory Courses,"211 ,3207 212 ,3207 213 ,3207",王清海(),113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,CZ106 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",能源科技 (Syllabus) Energy Technology,Department Elective Courses,"602 ,3207 603 ,3207 604 ,3207",藍文正(),113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,CZ107 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",溫室氣體盤查技術 (Syllabus) Greenhouse Gas Inventory Technology,Department Compulsory Courses,"606 ,3207 607 ,3207 608 ,3207","陳懷傑(CHEN,HUAI-CHIEH)",113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,CZ108 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",淨零碳排策略規劃 (Syllabus) Net Zero Carbon Strategic Planning,Department Compulsory Courses,"411 ,3304 412 ,3304 413 ,3304",尤淨纓(Ching-Ying Yu),113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,CZ112 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",質能均衡 (Syllabus) Material & Energy Balance,Department Compulsory Courses,"111 ,3207 112 ,3207 113 ,3207",藍祺偉(Chi-Wei Lan),113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,CZ114 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",氣候變遷影響 (Syllabus) Climate Change Impact,Department Elective Courses,"311 ,3302 312 ,3302 313 ,3302",謝建德(Chien-Te Hsieh),113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,CZ123 A,"Post-Baccalaureate Program for Carbon Zero Sustainable Development Preparatory Office(Undergraduate Program), Freshmen",ISO 14067證照輔導 (Syllabus) Training Course of ISO 14067,Department Elective Courses,"609 ,3207","陳懷傑(CHEN,HUAI-CHIEH)",113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,Selection message：,113F,,,,,,,,,,320320Post-BaccalaureateProgramforCarbonZeroSustainableDevelopmentPreparatoryOffice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ME517 A,"Department of Mechanical Engineering(Master Program) , First Year",有限元素法 (Syllabus) Finite Element Method,Department Elective Courses,"106 ,1204 107 ,1204 108 ,3301",余念一(Niann-i Yu),113F,,,,,,,,,,,322322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,113F,,,,,,,,,,,322322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ME553 A,"Department of Mechanical Engineering(Master Program) , First Year",電化學工程 (Syllabus) Electrochemical Engineering *全校性跨領域--綠色能源學程,Department Elective Courses,"407 ,3312 408 ,3312 409 ,3312",翁芳柏(Fangbor Weng),113F,,,,,,,,,,,322322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,Selection message： 1.碩／博一般生課程。2.碩士在職專班生如需選課，請填寫「元智大學課程跨學制申請表」提出申請。,113F,,,,,,,,,,,322322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
