Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Physical Education Office(Master Program), Second Year",PL213,C,木球,Woodball,,李福祥,Fu-Hsiang Lee,"403 ,體育場地 404 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL215,A,網球入門,Tennis,,莊英萬,Ying-Wan Chuang,"201 ,體育場地 202 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL215,B,網球入門,Tennis,,莊英萬,Ying-Wan Chuang,"401 ,體育場地 402 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL219,A,桌球,Table Tennis,,陳律盛,Lu-Sheng Chen,"301 ,體育場地 302 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL219,B,桌球,Table Tennis,,陳律盛,Lu-Sheng Chen,"403 ,體育場地 404 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL219,C,桌球,Table Tennis,,黃鉢登,"PO-TENG,HUANG","406 ,體育場地 407 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL221,A,保齡球,Bowling,,陳淑貞,Shu-Jen Chen,"103 ,體育場地 104 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL221,B,保齡球,Bowling,,陳淑貞,Shu-Jen Chen,"106 ,體育場地 107 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL221,C,保齡球,Bowling,,陳淑貞,Shu-Jen Chen,"406 ,體育場地 407 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL221,D,保齡球,Bowling,,陳淑貞,Shu-Jen Chen,"408 ,體育場地 409 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL223,A,自由車,Cycling,,李福祥,Fu-Hsiang Lee,"206 ,70111 207 ,70111"
"Physical Education Office(Master Program), Second Year",PL223,B,自由車,Cycling,,李福祥,Fu-Hsiang Lee,"208 ,70111 209 ,70111"
"Physical Education Office(Master Program), Second Year",PL224,A,籃球,Basketball,,游文杉,Wen-Shan Yu,"506 ,體育場地 507 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL224,B,籃球,Basketball,,游文杉,Wen-Shan Yu,"508 ,體育場地 509 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,A,羽球入門,Badminton,,林勁宏,Ching-Hung Lin,"106 ,體育場地 107 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,B,羽球入門,Badminton,,林勁宏,Ching-Hung Lin,"108 ,體育場地 109 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,C,羽球入門,Badminton,,林勁宏,Ching-Hung Lin,"201 ,體育場地 202 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,D,羽球入門,Badminton,,林勁宏,Ching-Hung Lin,"203 ,體育場地 204 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,E,羽球入門,Badminton,,林勁宏,Ching-Hung Lin,"307 ,體育場地 308 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,F,羽球入門,Badminton,,邱憲祥,CHIU HSIEN-HSIANG,"401 ,體育場地 402 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL225,G,羽球入門,Badminton,,邱憲祥,CHIU HSIEN-HSIANG,"403 ,體育場地 404 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL331,B,代表隊專長訓練,School Sport Team Training,,李士範,S.F. Lee,
"Physical Education Office(Master Program), Second Year",PL331,D,代表隊專長訓練,School Sport Team Training,,林青輝,Ching-Hui Lin,
"Physical Education Office(Master Program), Second Year",PL331,E,代表隊專長訓練,School Sport Team Training,,林勁宏,Ching-Hung Lin,
"Physical Education Office(Master Program), Second Year",PL331,F,代表隊專長訓練,School Sport Team Training,,莊英萬,Ying-Wan Chuang,
"Physical Education Office(Master Program), Second Year",PL331,H,代表隊專長訓練,School Sport Team Training,,陳淑貞,Shu-Jen Chen,
"Physical Education Office(Master Program), Second Year",PL331,I,代表隊專長訓練,School Sport Team Training,,游文杉,Wen-Shan Yu,
"Physical Education Office(Master Program), Second Year",PL334,A,重量訓練,Free Weight Exercise,,曾玉如,"TSENG,YU-JU","106 ,體育場地 107 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL334,B,重量訓練,Free Weight Exercise,,陳律盛,Lu-Sheng Chen,"203 ,體育場地 204 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL334,C,重量訓練,Free Weight Exercise,,陳律盛,Lu-Sheng Chen,"206 ,體育場地 207 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL334,D,重量訓練,Free Weight Exercise,,林青輝,Ching-Hui Lin,"406 ,體育場地 407 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL334,E,重量訓練,Free Weight Exercise,,陳律盛,Lu-Sheng Chen,"501 ,體育場地 502 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL335,A,體適能瑜珈,Yoya Fitness,,張介,"Chang,Chieh","506 ,體育場地 507 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL335,B,體適能瑜珈,Yoya Fitness,,張介,"Chang,Chieh","508 ,體育場地 509 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL336,A,劍道,KENDO,,吳政文,Cheng-Wen Wu,"106 ,體育場地 107 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL336,B,劍道,KENDO,,吳政文,Cheng-Wen Wu,"108 ,體育場地 109 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL336,C,劍道,KENDO,,吳政文,Cheng-Wen Wu,"208 ,體育場地 209 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL337,A,匹克球,Pickleball,,莊英萬,Ying-Wan Chuang,"301 ,體育場地 302 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL337,B,匹克球,Pickleball,,莊英萬,Ying-Wan Chuang,"303 ,體育場地 304 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL337,C,匹克球,Pickleball,,林青輝,Ching-Hui Lin,"403 ,體育場地 404 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL338,A,流行有氧舞蹈,Popular Aerobic Dance,,黃懷玉,,"301 ,體育場地 302 ,體育場地"
"Physical Education Office(Master Program), Second Year",PL338,B,流行有氧舞蹈,Popular Aerobic Dance,,黃懷玉,,"303 ,體育場地 304 ,體育場地"
"International Language and Culture Center(Master Program) , First Year",EL170,A,華語（一）,Mandarin ChineseI,,許芳華,,"409 ,2105 410 ,2105"
"International Language and Culture Center(Master Program) , First Year",EL170,B,華語（一）,Mandarin ChineseI,,游文琦,,"307 ,2423 308 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL170,C,華語（一）,Mandarin ChineseI,,鄭秀彬,"CHENG,HSIU-PIN","208 ,1211 209 ,1211"
"International Language and Culture Center(Master Program) , First Year",EL170,D,華語（一）,Mandarin ChineseI,,林溫芳,"Wen-Fang,Lin","101 ,3207 102 ,3207"
"International Language and Culture Center(Master Program) , First Year",EL171,A,華語（二）,Mandarin ChineseII,,游文琦,,"309 ,2423 310 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL171,B,華語（二）,Mandarin ChineseII,,鄭秀彬,"CHENG,HSIU-PIN","206 ,1211 207 ,1211"
"International Language and Culture Center(Master Program) , First Year",EL171,C,華語（二）,Mandarin ChineseII,,林溫芳,"Wen-Fang,Lin","103 ,3207 104 ,3207"
"International Language and Culture Center(Master Program) , First Year",EL270,A,華語（三）,Mandarin ChineseIII,,賴家卉,,"406 ,3216 407 ,3216"
"International Language and Culture Center(Master Program) , First Year",EL271,A,華語（四）,Mandarin ChineseIV,,賴家卉,,"408 ,3216 409 ,3216"
"International Language and Culture Center(Master Program) , First Year",EL372,A,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","203 ,2104"
"International Language and Culture Center(Master Program) , First Year",EL372,B,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","204 ,2104"
"International Language and Culture Center(Master Program) , First Year",EL373,A,進階華語會話,Advanced Mandarin Conversation,Department Elective Courses,林溫芳,"Wen-Fang,Lin","106 ,2425 107 ,2425"
"International Language and Culture Center(Master Program) , First Year",EL374,A,進階華語閱讀,Advanced Mandarin Readings,Department Elective Courses,林溫芳,"Wen-Fang,Lin","206 ,2423 207 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL375,C,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","208 ,2423 209 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL419,A1,進階英語（一）,Advanced EnglishI,,鄭仰霖,"Yang-Lin,Cheng","403 ,60212 404 ,60212"
"International Language and Culture Center(Master Program) , First Year",EL419,A2,進階英語（一）,Advanced EnglishI,,倪樹金,"Shu-Chin,Ni","101 ,2423 102 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL419,E1,進階英語（一）,Advanced EnglishI,,莊瑜瑩,"Yu,Ying,Zhuang","101 ,2425 102 ,2425"
"International Language and Culture Center(Master Program) , First Year",EL419,E2,進階英語（一）,Advanced EnglishI,,梁立芳,"Li-Fang,Liang","103 ,2423 104 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL429,E,英語口譯（一）,English Oral InterpretationI,,張中倩,Chung-Chien Karen Chang,"103 ,2603 104 ,2603"
"International Language and Culture Center(Master Program) , First Year",EL431,A,英語筆譯（一）,English TranslationI,,張中倩,Chung-Chien Karen Chang,"101 ,2603 102 ,2603"
"International Language and Culture Center(Master Program) , First Year",LC201,A1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"101 ,3214 102 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC201,A2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"101 ,2113 102 ,2113"
"International Language and Culture Center(Master Program) , First Year",LC201,B2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂家茵,,"201 ,70110 202 ,70110"
"International Language and Culture Center(Master Program) , First Year",LC201,D1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂介夫,Jeff Lyu,"501 ,3207 502 ,3207"
"International Language and Culture Center(Master Program) , First Year",LC201,F1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂家茵,,"203 ,70110 204 ,70110"
"International Language and Culture Center(Master Program) , First Year",LC201,I2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,陳姿瑤,"CHEN,TZU-YAO","307 ,2102 308 ,2102"
"International Language and Culture Center(Master Program) , First Year",LC201,I3,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,曾慶宇,,"307 ,1211 308 ,1211"
"International Language and Culture Center(Master Program) , First Year",LC201,I4,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,高千文,"KAO,CHIAN-WEN","307 ,70112 308 ,70112"
"International Language and Culture Center(Master Program) , First Year",LC201,J2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,陳姿瑤,"CHEN,TZU-YAO","309 ,2102 310 ,2102"
"International Language and Culture Center(Master Program) , First Year",LC201,J3,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,曾慶宇,,"309 ,1211 310 ,1211"
"International Language and Culture Center(Master Program) , First Year",LC201,J4,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,高千文,"KAO,CHIAN-WEN","309 ,70112 310 ,70112"
"International Language and Culture Center(Master Program) , First Year",LC202,B1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"201 ,3209 202 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,B2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"201 ,1204 202 ,1204"
"International Language and Culture Center(Master Program) , First Year",LC202,C1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"401 ,3214 402 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,D2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,姜安貞,,"501 ,3214 502 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,D3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,黃郁蘭,Yu-Lan Huang,"501 ,3212 502 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC202,E3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"103 ,3209 104 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,E4,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"103 ,3214 104 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,F1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"203 ,3209 204 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,F2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"203 ,3214 204 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,G1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"403 ,3214 404 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,G2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,文天瑞,WALTER TREY DOMINIC HAIRSTON,"403 ,1111 404 ,1111"
"International Language and Culture Center(Master Program) , First Year",LC202,H2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,姜安貞,,"503 ,3214 504 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,H3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"503 ,3212 504 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,A1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"101 ,3212 102 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,A2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,張慎琪,,"101 ,2104 102 ,2104"
"International Language and Culture Center(Master Program) , First Year",LC203,A3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"101 ,3209 102 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC203,B1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,彭如玉,,"201 ,2105 202 ,2105"
"International Language and Culture Center(Master Program) , First Year",LC203,B2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"201 ,3214 202 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC203,B3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"201 ,3212 202 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,C1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,黃郁蘭,Yu-Lan Huang,"401 ,3209 402 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC203,C2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,張若妍,,"401 ,1202 402 ,1202"
"International Language and Culture Center(Master Program) , First Year",LC203,C3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,文天瑞,WALTER TREY DOMINIC HAIRSTON,"401 ,1111 402 ,1111"
"International Language and Culture Center(Master Program) , First Year",LC203,D2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,郭怡潔,KUO YI-JIE,"501 ,3209 502 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC203,D3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,馮聲福,,"501 ,2104 502 ,2104"
"International Language and Culture Center(Master Program) , First Year",LC203,E1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,張慎琪,,"103 ,2104 104 ,2104"
"International Language and Culture Center(Master Program) , First Year",LC203,E2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"103 ,3212 104 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,E3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"103 ,2113 104 ,2113"
"International Language and Culture Center(Master Program) , First Year",LC203,F1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,彭如玉,,"203 ,2105 204 ,2105"
"International Language and Culture Center(Master Program) , First Year",LC203,F2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"203 ,3212 204 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,F3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"203 ,1204 204 ,1204"
"International Language and Culture Center(Master Program) , First Year",LC203,G1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,黃郁蘭,Yu-Lan Huang,"403 ,3209 404 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC203,G3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,張若妍,,"403 ,1202 404 ,1202"
"International Language and Culture Center(Master Program) , First Year",LC203,H1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,呂介夫,Jeff Lyu,"503 ,3207 504 ,3207"
"International Language and Culture Center(Master Program) , First Year",LC203,H2,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,郭怡潔,KUO YI-JIE,"503 ,3209 504 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC203,H3,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,馮聲福,,"503 ,2104 504 ,2104"
"International Language and Culture Center(Master Program) , First Year",LC203,H4,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *寰宇文化微學程,,簡洛汾,,"503 ,1204 504 ,1204"
"International Language and Culture Center(Master Program) , First Year",EL170,A,華語（一）,Mandarin ChineseI,,許芳華,,"409 ,2105 410 ,2105"
"International Language and Culture Center(Master Program) , First Year",EL170,B,華語（一）,Mandarin ChineseI,,游文琦,,"307 ,2423 308 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL170,C,華語（一）,Mandarin ChineseI,,鄭秀彬,"CHENG,HSIU-PIN","208 ,1211 209 ,1211"
"International Language and Culture Center(Master Program) , First Year",EL170,D,華語（一）,Mandarin ChineseI,,林溫芳,"Wen-Fang,Lin","101 ,3207 102 ,3207"
"International Language and Culture Center(Master Program) , First Year",EL171,A,華語（二）,Mandarin ChineseII,,游文琦,,"309 ,2423 310 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL171,B,華語（二）,Mandarin ChineseII,,鄭秀彬,"CHENG,HSIU-PIN","206 ,1211 207 ,1211"
"International Language and Culture Center(Master Program) , First Year",EL171,C,華語（二）,Mandarin ChineseII,,林溫芳,"Wen-Fang,Lin","103 ,3207 104 ,3207"
"International Language and Culture Center(Master Program) , First Year",EL270,A,華語（三）,Mandarin ChineseIII,,賴家卉,,"406 ,3216 407 ,3216"
"International Language and Culture Center(Master Program) , First Year",EL271,A,華語（四）,Mandarin ChineseIV,,賴家卉,,"408 ,3216 409 ,3216"
"International Language and Culture Center(Master Program) , First Year",EL372,A,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","203 ,2104"
"International Language and Culture Center(Master Program) , First Year",EL372,B,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","204 ,2104"
"International Language and Culture Center(Master Program) , First Year",EL373,A,進階華語會話,Advanced Mandarin Conversation,Department Elective Courses,林溫芳,"Wen-Fang,Lin","106 ,2425 107 ,2425"
"International Language and Culture Center(Master Program) , First Year",EL374,A,進階華語閱讀,Advanced Mandarin Readings,Department Elective Courses,林溫芳,"Wen-Fang,Lin","206 ,2423 207 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL375,C,華語檢定,Chinese Proficiency Test,,林溫芳,"Wen-Fang,Lin","208 ,2423 209 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL419,A1,進階英語（一）,Advanced EnglishI,,鄭仰霖,"Yang-Lin,Cheng","403 ,60212 404 ,60212"
"International Language and Culture Center(Master Program) , First Year",EL419,A2,進階英語（一）,Advanced EnglishI,,倪樹金,"Shu-Chin,Ni","101 ,2423 102 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL419,E1,進階英語（一）,Advanced EnglishI,,莊瑜瑩,"Yu,Ying,Zhuang","101 ,2425 102 ,2425"
"International Language and Culture Center(Master Program) , First Year",EL419,E2,進階英語（一）,Advanced EnglishI,,梁立芳,"Li-Fang,Liang","103 ,2423 104 ,2423"
"International Language and Culture Center(Master Program) , First Year",EL429,E,英語口譯（一）,English Oral InterpretationI,,張中倩,Chung-Chien Karen Chang,"103 ,2603 104 ,2603"
"International Language and Culture Center(Master Program) , First Year",EL431,A,英語筆譯（一）,English TranslationI,,張中倩,Chung-Chien Karen Chang,"101 ,2603 102 ,2603"
"International Language and Culture Center(Master Program) , First Year",LC201,A1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"101 ,3214 102 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC201,A2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"101 ,2113 102 ,2113"
"International Language and Culture Center(Master Program) , First Year",LC201,B2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂家茵,,"201 ,70110 202 ,70110"
"International Language and Culture Center(Master Program) , First Year",LC201,D1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂介夫,Jeff Lyu,"501 ,3207 502 ,3207"
"International Language and Culture Center(Master Program) , First Year",LC201,F1,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,呂家茵,,"203 ,70110 204 ,70110"
"International Language and Culture Center(Master Program) , First Year",LC201,I2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,陳姿瑤,"CHEN,TZU-YAO","307 ,2102 308 ,2102"
"International Language and Culture Center(Master Program) , First Year",LC201,I3,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,曾慶宇,,"307 ,1211 308 ,1211"
"International Language and Culture Center(Master Program) , First Year",LC201,I4,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,高千文,"KAO,CHIAN-WEN","307 ,70112 308 ,70112"
"International Language and Culture Center(Master Program) , First Year",LC201,J2,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,陳姿瑤,"CHEN,TZU-YAO","309 ,2102 310 ,2102"
"International Language and Culture Center(Master Program) , First Year",LC201,J3,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,曾慶宇,,"309 ,1211 310 ,1211"
"International Language and Culture Center(Master Program) , First Year",LC201,J4,英語（二）：進階英語,EnglishII: Freshmen English ; advanced-level *寰宇文化微學程,,高千文,"KAO,CHIAN-WEN","309 ,70112 310 ,70112"
"International Language and Culture Center(Master Program) , First Year",LC202,B1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"201 ,3209 202 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,B2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,安琪拉,MARIA ANGELA BAUTISTA DIAZ,"201 ,1204 202 ,1204"
"International Language and Culture Center(Master Program) , First Year",LC202,C1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"401 ,3214 402 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,D2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,姜安貞,,"501 ,3214 502 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,D3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,黃郁蘭,Yu-Lan Huang,"501 ,3212 502 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC202,E3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"103 ,3209 104 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,E4,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"103 ,3214 104 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,F1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,師德霖,Sterling Thomas Swallow,"203 ,3209 204 ,3209"
"International Language and Culture Center(Master Program) , First Year",LC202,F2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"203 ,3214 204 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,G1,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,斯婁福,Rolf Zapparoli-Manzoni,"403 ,3214 404 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,G2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,文天瑞,WALTER TREY DOMINIC HAIRSTON,"403 ,1111 404 ,1111"
"International Language and Culture Center(Master Program) , First Year",LC202,H2,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *寰宇文化微學程,,姜安貞,,"503 ,3214 504 ,3214"
"International Language and Culture Center(Master Program) , First Year",LC202,H3,英語（二）：中階英語,EnglishII: Freshmen English ; Intermediate-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"503 ,3212 504 ,3212"
"International Language and Culture Center(Master Program) , First Year",LC203,A1,英語（二）：基礎英語,EnglishII: Freshmen English; Entry-level *Teaching in English *寰宇文化微學程,,湯瑪斯,Thomas Richard Thorne,"101 ,3212 102 ,3212"
