Program_and_Year,Course_Code,Section,Course_Title_CN,Course_Title_EN,Course_Type,Instructor_CN,Instructor_EN,Schedule_and_Credits_Raw
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS249,A,視窗程式設計,Windows Programming *互動多媒體微學程 *互動多媒體學程,Department Elective Courses,周志岳,Chih-Yueh Chou,"307 ,1201A 308 ,1201A 309 ,1201A"
"Department of Computer Science and Engineering(Undergraduate Program) , Sophomore",CS258,A,醫用放射治療概論,Introduction to Therapeutic Radiology,Department Elective Courses,徐晨雄,"Chen-Xiong,Hsu","303 ,1501B 304 ,1501B"
"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",DE101,A,微積分（一）,Calculus I *Teaching in English,Department Compulsory Courses,阮美心,NGUYEN THI MY HANH,"502 ,2601 503 ,2601 504 ,2601"
"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",DE103,A,基礎程式設計實驗（一）,Computer Programming Lab.I *Teaching in English *智慧製造學程,Department Compulsory Courses,謝建興,Jiann-Shing Shieh,"108 ,3211"
"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",DE105,A,化工與材科概論,Introduction to Chemical Engineering & Materials Science *Teaching in English,Department Compulsory Courses,徐安達,ENDER ERCAN,"303 ,2101 304 ,2101 409 ,2101"
"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",DE106,A,工業工程概論,Introduction to Industrial Engineering *Teaching in English,Department Compulsory Courses,樂代義,YOGI TRI PRASETYO,"202 ,2105 203 ,2105 204 ,2105"
"International Bachelor Program in Engineering(Undergraduate Program), Freshmen",DE107,A1,普通化學,General Chemistry *Teaching in English,Department Compulsory Courses,李弘霖,"Lee,Hung-Lin","402 ,3214 403 ,3214 404 ,3214"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI101,A,微積分（一）,CalculusI *Teaching in English,Department Compulsory Courses,LAK MOHAMMADREZA,劉莫翰,"106 ,70108 107 ,70108 108 ,70108"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI103,A,普通物理（一）,General PhysicsI *Teaching in English,Department Compulsory Courses,蘇泰元,,"408 ,70102 409 ,70102 507 ,70102 508 ,70102"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI103,B,普通物理（一）,General PhysicsI *Teaching in English,Department Compulsory Courses,蘇泰元,,"403 ,70102 404 ,70102 509 ,70102 510 ,70102"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI105,A,計算機概論,Introduction to Computer Science *Teaching in English,Department Compulsory Courses,巴拉吉,BALAJI GURURAJAN,"202 ,70203 203 ,70203 204 ,70203"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI109,A,程式語言實驗（一）,Programming Language LabsI *Teaching in English,Department Compulsory Courses,胡馬雍,SYED HUMAYOON SHAH,"210 ,3211"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI111,A,科技英文會話,Science and Technology English Conversation *Teaching in English,Department Compulsory Courses,白小明,Jonathon David White,"406 ,3306 407 ,3306"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program), Freshmen",EI115,A,線性代數,Linear Algebra *Teaching in English,Department Elective Courses,阿南穆尼爾,ANAM MUNIR,"502 ,70301 503 ,70301 504 ,70301"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI201,A,電子學（一）,ElectronicsI *Teaching in English,Department Compulsory Courses,巴拉吉,BALAJI GURURAJAN,"502 ,70108 503 ,70108 504 ,70108"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI203,A,工程數學（一）,Engineering MathematicsI *Teaching in English,Department Compulsory Courses,胡馬雍,SYED HUMAYOON SHAH,"103 ,70108 104 ,70108 106 ,71006 107 ,71006"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI205,A,電路學,Circuit Theory *Teaching in English,Department Compulsory Courses,李穎,Ying Li,"302 ,70108 303 ,70108 304 ,70108"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI207,A,電子電路實驗（一）,Electronic Circuits ExperimentsI *Teaching in English,Department Compulsory Courses,巴拉吉,BALAJI GURURAJAN,"402 ,70307 403 ,70307 404 ,70307"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI209,A,科技英文寫作,Science and Technology English Writing *Teaching in English *專業科技傳播學程,Department Elective Courses,白小明,Jonathon David White,"408 ,3306 409 ,3306"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI211,A,工程機率,Probability for Engineers,Department Elective Courses,洪維廷,Wei-Tyng Hong,"402 ,70112 403 ,70112 404 ,70112"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI211,B,工程機率,Probability for Engineers,Department Elective Courses,洪維廷,Wei-Tyng Hong,"202 ,70103 203 ,70103 204 ,70103"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI219,A,資料結構,Data Structures,Department Elective Courses,黃郁惠,"HUANG, YU-HUI","110 ,70405 203 ,70205 204 ,70205"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI219,B,資料結構,Data Structures,Department Elective Courses,黃郁惠,"HUANG, YU-HUI","109 ,70405 207 ,70109 208 ,70109"
"International Bachelor Program in Electrical and Communication Engineering(Undergraduate Program) , Sophomore",EI221,A,醫療高科技應用新知,Innovations in Medical High-Tech Applications *Teaching in English,Department Elective Courses,汪姍瑩,"Wang,Shan-Ying","307 ,70112 308 ,70112 309 ,70112"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB101,A,微積分（一）,CalculusI,Department Compulsory Courses,曾俊雄,,"107 ,70102 108 ,70102 109 ,70102"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB101,B,微積分（一）,CalculusI,Department Compulsory Courses,李世凱,Shih-Kai Lee,"102 ,70101 103 ,70101 104 ,70101"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB108,A,計算機概論,Introduction to Computer Science *物聯網學程,Department Compulsory Courses,林柏江,"Po-Chiang,Lin","202 ,70404 203 ,70404 204 ,70404"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB108,B,計算機概論,Introduction to Computer Science *物聯網學程,Department Compulsory Courses,林柏江,"Po-Chiang,Lin","207 ,70404 208 ,70404 209 ,70404"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB110,A,線性代數,Linear Algebra *數位科技應用學程,Department Compulsory Courses,黃家麒,Chia-Chi Huang,"207 ,70101 208 ,70101 209 ,70101"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB110,B,線性代數,Linear Algebra *數位科技應用學程,Department Compulsory Courses,黃家麒,Chia-Chi Huang,"202 ,70101 203 ,70101 204 ,70101"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB116,A,普通物理,General Physics,Department Compulsory Courses,賴文彬,Wen-Ping Lai,"408 ,70105 409 ,70105 506 ,70206 507 ,70206"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB116,B,普通物理,General Physics,Department Compulsory Courses,李建育,,"303 ,70109 304 ,70109 403 ,70109 404 ,70109"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB126,A,程式語言實驗（一）,Programming Language Labs I *人工智慧學程,Department Compulsory Courses,李建誠,Chien-Cheng Lee,"104 ,70404"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEB126,B,程式語言實驗（一）,Programming Language Labs I *人工智慧學程,Department Compulsory Courses,李建誠,Chien-Cheng Lee,"109 ,70404"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEC101,A,普通物理（一）,General PhysicsI *Teaching in English,Department Compulsory Courses,阮于珊,Yu-Shan Juan,"109 ,70205 202 ,70109 203 ,70109 204 ,70109"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEC105,A,微積分（一）,CalculusI *Teaching in English,Department Compulsory Courses,張志豪,Chih-Hao Chang,"206 ,70103 207 ,70103 208 ,70103"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEC107,A,計算機概論,Introduction to Computer Science *物聯網學程,Department Elective Courses,饒哲維,,"110 ,5006 209 ,5006 210 ,5006"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEC113,A,程式語言實驗（一）,Programming Language Lab I,Department Compulsory Courses,陳念波,Nien-Po Chen,"104 ,70405"
"Department of Electrical Engineering(Undergraduate Program), Freshmen",EEC115,A,電子電機概論,Introduction of Electronic Engineering,Department Elective Courses,巫朝陽,"Jau-Yang,Wu","406 ,70204 407 ,70204"
